-3,36846
35,3953
34,8547
34,22396
33,45984
32,69613
31,96196
67,70111
66,34749
64,86634
63,41292
61,95718
60,61508
27,22949
-3,4955
-3,49743
-3,48519
-3,48221
-3,48805
-3,47774
-27,69119
-28,25744
-28,29467
-30,35691
25,96887
26,70704
27,42444
28,12421
28,80034
31,95477
46,07761
-27,29545
-26,84175
-26,59092
-26,36083
-26,12542
26,38444
-3,4687
21,22605
20,85062
45,42413
68,64559
42,35503
62,93828
59,85908
36,22795
53,7617
32,57027
66,52539
46,45283
60,22552
41,14096
65,88427
47,00974
65,66308
38,13029
34,60194
22,8376
20,90289
19,07206
17,281
21,81596
18,95905
15,59501
19,26075
-0,96984
1,24849
-3,5206
-3,5173
-3,51496
-3,51273
-3,51071
-3,5089
-3,5089
8,27109
-8,21834
-3,49555
-3,50263
-3,493
-3,49173
-3,49944
-3,48982
-3,48887
-3,49667
-3,49582
-3,48653
-3,49433
-3,48515
-3,69265
50,88955
34,0071
18,92243
11,67183
7,35789
-1,60082
3,85173
19,26871
38,89872
39,61721
38,51571
30,96908
32,49268
24,16957
-1,07821
-11,88937
-12,89484
-8,33114
-57,72806
-45,8397
-40,65877
-30,88788
-16,17258
9,89329
50,20636
59,35766
54,6104
50,68962
57,25759
68,67592
50,90866
23,94346
2,64877
2,4931
2,22876
1,89783
-3,519
-8,20398
1,59869
15,77926
8,5184
-3,50552
52,7493
52,52412
51,24259
49,79395
40,4798
42,66191
44,52139
45,87788
43,88103
40,77497
44,17192
47,05369
34,24533
29,63639
7,81647
-7,4732
-11,05824
3,55478
18,53983
10,76933
24,35002
20,06341
21,95206
-35,07584
-15,01702
-3,51698
8,12198
7,73308
-13,45241
-3,51305
-3,51198
-3,50234
-3,50965
17,54934
66,29392
64,25669
63,91625
43,41362
18,42361
15,00196
16,08293
7,20523
-0,21103
-1,49247
-3,51676
-3,52273
-3,51199
-3,51847
-3,51677
-3,51518
-3,51379
-3,50372
-3,50266
-3,50996
-3,50911
-3,50805
-3,50709
-3,49788
-3,5055
-3,49618
-3,50412
-3,50358
-3,49428
-3,49374
-3,49321
-3,50124
-3,50071
-3,50029
-3,49976
-3,49944
-3,49901
-3,49848
-3,49816
-3,49784
-3,49742
-3,4971
-3,49667
-3,49635
-3,49614
-3,49582
-3,4955
-3,49529
-3,48643
-3,71054
-9,22573
26,46464
18,44963
20,03484
22,83556
35,74813
46,47565
25,93707
16,66555
17,85571
17,47953
44,64589
14,54684
55,71367
65,84947
49,42213
21,2075
-3,54208
41,86005
24,35237
27,51073
17,11447
15,95545
25,11251
22,653
3,81345
20,8633
26,65001
3,51491
6,86951
22,19293
-19,8532
19,74073
63,08383
64,685
47,31018
3,98545
43,34527
-44,5939
-55,19632
-36,61155
-16,15882
-11,98586
-3,5105
22,66897
36,81186
32,9028
28,90172
19,81625
12,25283
6,02231
0,73484
0,4895
-3,52411
-3,52187
-3,51985
-7,06806
-7,1138
-7,1097
-9,22362
47,34058
44,58581
40,80399
37,40796
23,36609
33,91712
27,48773
11,66648
1,33894
3,53578
-10,09474
-0,35448
2,06221
-5,37805
18,16353
6,71521
-11,69317
-13,6546
-18,17727
-18,55558
-4,80332
-6,25224
8,99119
19,12342
20,16705
19,80555
13,0656
10,62512
11,52559
12,45436
16,74572
26,15283
-20,96144
-3,50435
31,19942
47,17938
28,79121
11,87763
-3,51758
11,41206
56,57116
67,50187
62,83391
46,6909
55,23586
51,22168
57,80226
69,2799
51,31914
24,11747
2,65797
2,50006
2,2414
1,90686
-3,53335
-8,24235
1,59523
6,03321
53,73084
30,27662
32,20119
24,04171
19,6633
9,07548
-16,60131
-22,79228
-19,7607
-12,67075
-1,98883
-8,05343
-14,24568
-53,6036
-16,61477
-14,24715
10,29802
51,81771
61,20153
68,86264
61,76164
64,4683
67,63871
29,71658
-23,37802
-80,93656
-15,97676
-15,50632
-24,89109
-26,35469
-37,2405
-31,90846
-43,21535
9,54407
-22,84654
11,53854
11,20611
-3,4982
-16,53817
-20,73422
-29,89273
-31,66009
-25,69228
-16,8894
-15,41344
-3,47154
10,40837
24,37782
23,42393
22,45896
8,83123
-3,50106
52,21549
-3,50139
-3,50584
8,09058
19,62081
18,72368
17,69917
16,80199
25,99229
24,36568
31,21798
12,41809
-3,52355
-3,51963
-3,51698
-3,51485
-10,27648
51,68895
-3,52196
17,94956
34,44832
12,60546
